DeviceId	PenId	TargetIndex	TrackingId	TrackingIdPerPen	Cube	Objective	View	Label	IsSelected	PerimeterMicrons	AreaMicrons	DiameterMicrons	Circularity	MajorAxisMicrons	MinorAxisMicrons	MedianBrightness	MeanBrightness	MaxBrightness	MinBrightness	BackgroundAreaMicrons	MedianBackgroundBrightness	MeanBackgroundBrightness	MaxBackgroundBrightness	MinBackgroundBrightness	CentroidXPixels	CentroidYPixels	CentroidXMicrons	CentroidYMicrons	CentroidXMicronsPenRelative	CentroidYMicronsPenRelative	GatePath	FluidChannelNumber	TimeLapseIndex	Timestamp	CellCount	CellsInPen	TargetsInPen
D69353	4	0	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	32.3	67	9.2	0.85	3.16	2.8	56704	56381	65535	39805	8013.1	48235	48434	53788	43963	200.4	293.8	-6027.3	3093.2	12.7	-231.8	Root	1	3	01:08.9	1	1	1
D69353	4	0	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	32.3	67	9.2	0.85	3.16	2.8	2560	2781	3504	2369	7955.4	2427	2431	2692	2182	200.4	293.8	-6027.3	3093.2	12.7	-231.8	Root	1	3	01:08.9	1	1	1
D69353	4	0	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	32.3	67	9.2	0.85	3.16	2.8	1365	1513	2323	750	7939.6	542	550	723	475	200.4	293.8	-6027.3	3093.2	12.7	-231.8	Root	1	3	01:08.9	1	1	1
D69353	4	0	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	32.3	67	9.2	0.85	3.16	2.8	1004	1117	1326	945	7955.4	1014	1016	1149	872	200.4	293.8	-6027.3	3093.2	12.7	-231.8	Root	1	3	01:08.9	1	1	1
D69353	5	1	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	21.8	34.1	6.6	0.93	2.15	2.01	59008	56473	65535	44438	8073.5	48464	48725	54438	44184	238	300.1	-5966.4	3082.8	-6.4	-242.2	Root	1	3	01:08.9	1	1	1
D69353	5	1	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	21.8	34.1	6.6	0.93	2.15	2.01	2560	2715	2872	2535	8026.3	2424	2429	2727	2183	238	300.1	-5966.4	3082.8	-6.4	-242.2	Root	1	3	01:08.9	1	1	1
D69353	5	1	-1	-1	FITC	Main	8	3h Fucci FITC Imaging	FALSE	21.8	34.1	6.6	0.93	2.15	2.01	512	574	635	538	8023.6	544	552	698	469	238	300.1	-5966.4	3082.8	-6.4	-242.2	Root	1	3	01:08.9	1	1	1
D69353	5	1	-1	-1	PE	Main	8	3h Fucci FITC Imaging	FALSE	21.8	34.1	6.6	0.93	2.15	2.01	1034	1189	1281	1106	8023.6	1006	1007	1161	900	238	300.1	-5966.4	3082.8	-6.4	-242.2	Root	1	3	01:08.9	1	1	1
D69353	10	2	-1	-1	OEP	Main	8	3h Fucci FITC Imaging	FALSE	22.7	32.8	6.5	0.87	2.18	2.02	65200	60029	65535	46396	7553.5	48535	48948	58335	43126	491.1	299.2	-5556.2	3082.7	3.8	-242.3	Root	1	3	01:08.9	1	2	2
D69353	10	2	-1	-1	TRED	Main	8	3h Fucci FITC Imaging	FALSE	22.7	32.8	6.5	0.87	2.18	2.02	3040	3124	3435	2732	7603.4	2389	2398	2662	2199	491.1	299.2	-5556.2	3082.7	3.8	-242.3	Root	1	3	01:08.9	1	2	2
